partial;2500;497;3;45;41
partial;3000;487;13;52;41
500;0;3270;4.14504;41;53;0
partial;500;418;82;63;44
partial;1000;453;47;58;44
500;0;1181;1.63723;44;54;0
partial;500;184;316;51;42
partial;1000;157;343;45;42
partial;1500;190;310;51;42
partial;2000;103;397;53;42
partial;2500;130;370;51;42
partial;3000;106;394;47;42
partial;3500;301;199;68;42
partial;4000;276;224;46;42
partial;4500;278;222;49;42
partial;5000;418;82;53;42
418;82;-1;6.25729;42;43;10
partial;500;396;104;43;43
partial;1000;369;131;45;43
partial;1500;399;101;52;43
partial;2000;351;149;49;43
partial;2500;335;165;54;43
partial;3000;488;12;55;43
500;0;3467;4.39487;43;51;0
partial;500;224;276;52;45
partial;1000;266;234;54;45
partial;1500;157;343;44;45
partial;2000;31;469;40;45
partial;2500;20;480;44;45
partial;3000;4;496;52;45
partial;3500;20;480;49;45
partial;4000;18;482;44;45
0;500;4229;5.54401;45;0;54
partial;500;424;76;50;48
partial;1000;412;88;56;48
partial;1500;480;20;43;48
partial;2000;407;93;52;48
partial;2500;486;14;50;48
500;0;2782;3.66598;48;44;0
partial;500;270;230;44;46
partial;1000;244;256;58;46
partial;1500;165;335;54;46
partial;2000;96;404;57;46
partial;2500;85;415;54;46
partial;3000;139;361;48;46
partial;3500;54;446;49;46
partial;4000;114;386;45;46
partial;4500;97;403;48;46
partial;5000;9;491;43;46
9;491;-1;6.10073;46;0;43
partial;500;171;329;41;47
partial;1000;144;356;43;47
partial;1500;83;417;42;47
partial;2000;70;430;50;47
partial;2500;263;237;48;47
partial;3000;189;311;46;47
partial;3500;160;340;54;47
partial;4000;180;320;54;47
partial;4500;134;366;47;47
partial;5000;107;393;49;47
107;393;-1;6.4859;47;7;42
partial;500;414;86;53;51
partial;1000;495;5;43;51
500;0;1490;2.07233;51;50;0
partial;500;244;256;47;52
partial;1000;128;372;44;52
partial;1500;41;459;53;52
0;500;1873;2.47125;52;0;55
partial;500;309;191;55;49
partial;1000;247;253;48;49
partial;1500;158;342;52;49
partial;2000;111;389;44;49
partial;2500;186;314;56;49
partial;3000;140;360;42;49
partial;3500;201;299;45;49
partial;4000;174;326;54;49
partial;4500;275;225;54;49
partial;5000;248;252;52;49
248;252;-1;6.17908;49;27;25
partial;500;349;151;50;50
partial;1000;245;255;52;50
partial;1500;209;291;52;50
partial;2000;458;42;53;50
partial;2500;279;221;47;50
partial;3000;275;225;53;50
partial;3500;266;234;48;50
partial;4000;129;371;49;50
partial;4500;143;357;48;50
partial;5000;240;260;54;50
240;260;-1;5.84099;50;33;21
partial;500;183;317;53;53
partial;1000;75;425;43;53
partial;1500;29;471;47;53
partial;2000;10;490;51;53
0;500;2419;2.81993;53;0;50
partial;500;74;426;52;54
partial;1000;28;472;55;54
partial;1500;25;475;51;54
0;500;1628;2.052;54;0;47
partial;500;342;158;49;55
partial;1000;168;332;48;55
partial;1500;306;194;49;55
partial;2000;494;6;53;55
500;0;2067;2.4654;55;44;0
partial;500;308;192;46;56
partial;1000;442;58;49;56
partial;1500;484;16;50;56
500;0;1650;1.92705;56;51;0
partial;500;82;418;55;57
partial;1000;151;349;60;57
partial;1500;334;166;53;57
partial;2000;446;54;49;57
500;0;2341;2.67831;57;52;0
partial;500;350;150;49;60
partial;1000;447;53;57;60
partial;1500;459;41;44;60
partial;2000;450;50;56;60
partial;2500;495;5;51;60
partial;3000;487;13;47;60
partial;3500;446;54;45;60
partial;4000;498;2;63;60
500;0;4072;5.31193;60;39;0
partial;500;170;330;60;58
partial;1000;87;413;45;58
partial;1500;161;339;51;58
partial;2000;119;381;48;58
partial;2500;224;276;48;58
partial;3000;341;159;44;58
partial;3500;404;96;50;58
partial;4000;438;62;52;58
partial;4500;478;22;50;58
partial;5000;471;29;57;58
471;29;-1;6.36195;58;54;3
partial;500;51;449;47;59
partial;1000;104;396;52;59
partial;1500;67;433;48;59
partial;2000;178;322;59;59
partial;2500;190;310;50;59
partial;3000;271;229;53;59
partial;3500;99;401;42;59
partial;4000;267;233;54;59
partial;4500;247;253;33;59
partial;5000;92;408;57;59
92;408;-1;6.45992;59;10;47
partial;500;350;150;40;61
partial;1000;335;165;52;61
partial;1500;427;73;51;61
partial;2000;426;74;55;61
partial;2500;446;54;52;61
partial;3000;472;28;46;61
partial;3500;404;96;48;61
partial;4000;402;98;43;61
partial;4500;472;28;58;61
500;0;4693;5.77089;61;47;0
partial;500;429;71;38;63
partial;1000;458;42;50;63
500;0;1218;1.74648;63;51;0
partial;500;360;140;58;65
partial;1000;395;105;52;65
partial;1500;465;35;55;65
500;0;1778;2.39631;65;45;0
partial;500;146;354;54;62
partial;1000;97;403;50;62
partial;1500;306;194;49;62
partial;2000;179;321;51;62
partial;2500;268;232;49;62
partial;3000;158;342;48;62
partial;3500;235;265;43;62
partial;4000;417;83;59;62
partial;4500;309;191;52;62
partial;5000;190;310;46;62
190;310;-1;5.82391;62;17;29
partial;500;143;357;60;64
partial;1000;126;374;44;64
partial;1500;179;321;50;64
partial;2000;94;406;48;64
partial;2500;104;396;49;64
partial;3000;54;446;43;64
partial;3500;31;469;46;64
partial;4000;14;486;46;64
0;500;4320;5.48575;64;0;58
partial;500;37;463;60;69
0;500;903;1.3342;69;0;58
partial;500;305;195;34;66
partial;1000;252;248;49;66
partial;1500;138;362;50;66
partial;2000;36;464;52;66
partial;2500;153;347;60;66
partial;3000;197;303;51;66
partial;3500;203;297;48;66
partial;4000;333;167;45;66
partial;4500;287;213;51;66
partial;5000;280;220;43;66
280;220;-1;6.37833;66;23;20
partial;500;93;407;44;68
partial;1000;234;266;41;68
partial;1500;135;365;41;68
partial;2000;121;379;58;68
partial;2500;87;413;53;68
partial;3000;42;458;48;68
0;500;3492;4.25752;68;0;51
partial;500;298;202;48;67
partial;1000;351;149;55;67
partial;1500;402;98;55;67
partial;2000;430;70;52;67
partial;2500;405;95;47;67
partial;3000;480;20;54;67
partial;3500;478;22;60;67
partial;4000;399;101;42;67
partial;4500;439;61;60;67
partial;5000;255;245;54;67
255;245;-1;5.94335;67;31;23
partial;500;192;308;51;71
partial;1000;132;368;55;71
partial;1500;50;450;50;71
partial;2000;4;496;51;71
0;500;2050;2.73066;71;0;45
partial;500;305;195;47;70
partial;1000;434;66;52;70
partial;1500;398;102;43;70
partial;2000;356;144;58;70
partial;2500;308;192;46;70
partial;3000;403;97;50;70
partial;3500;451;49;58;70
500;0;3726;4.41345;70;47;0
partial;500;232;268;49;74
partial;1000;33;467;44;74
partial;1500;122;378;53;74
partial;2000;25;475;56;74
0;500;2224;2.99229;74;0;49
partial;500;455;45;40;72
